t=2022-12-19T23:17:38-0800 lvl=info msg="no configuration paths supplied"
t=2022-12-19T23:17:38-0800 lvl=info msg="using configuration at default config path" path=/root/.config/ngrok/ngrok.yml
t=2022-12-19T23:17:38-0800 lvl=info msg="open config file" path=/root/.config/ngrok/ngrok.yml err=nil
t=2022-12-19T23:17:38-0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2022-12-19T23:17:39-0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2022-12-19T23:17:39-0800 lvl=info msg="client session established" obj=csess id=e86c2e29c65b
t=2022-12-19T23:18:13-0800 lvl=info msg="join connections" obj=join id=b6cdcd36a388 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:13-0800 lvl=info msg="join connections" obj=join id=3e52f74f2290 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:13-0800 lvl=info msg="join connections" obj=join id=ba1eb905ca67 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:13-0800 lvl=info msg="join connections" obj=join id=8c803ce753fa l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:13-0800 lvl=info msg="join connections" obj=join id=a65be6a8e5be l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:13-0800 lvl=info msg="join connections" obj=join id=5dbedbeb5e48 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=83b4752e6594 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=5aa7bea29d06 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=4f564eb10d98 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=71526caa763d l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=2d69955654c0 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=6c8126a9504f l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=f4af416838cf l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=cfc80c6fd6b9 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=ccbb8b5f15ca l=[::1]:8080 r=123.21.127.80:52092
